dataset,feature,fold,cv_accuracy,cv_macro_f1,cv_auc,n_train,n_val
danenberg,ERBB2_pos,9,0.9701492537313433,0.9084699453551912,0.9833333333333334,612,67
cords,DX.name,0,0.8677248677248677,0.8586049016967412,0.9198589894242067,1692,189
cords,DX.name,1,0.8351063829787234,0.8241134751773049,0.9304172593646278,1693,188
cords,DX.name,2,0.8723404255319149,0.8649425287356323,0.9270981507823612,1693,188
cords,DX.name,3,0.8563829787234043,0.8492113002406203,0.9167852062588905,1693,188
cords,DX.name,4,0.8191489361702128,0.8065375302663438,0.9036273115220484,1693,188
cords,DX.name,5,0.8191489361702128,0.8086685823754789,0.9106211474632527,1693,188
cords,DX.name,6,0.851063829787234,0.8432400238237046,0.9334992887624467,1693,188
cords,DX.name,7,0.8404255319148937,0.8282791377420533,0.8982930298719772,1693,188
cords,DX.name,8,0.8351063829787234,0.8284621044885945,0.9203413940256046,1693,188
cords,DX.name,9,0.8404255319148937,0.8311781609195402,0.8972007147111376,1693,188
cords,Relapse,0,0.6020942408376964,0.5989168877099911,0.6547697730777704,1716,191
cords,Relapse,1,0.5654450261780105,0.5455118832602276,0.5476977307777042,1716,191
cords,Relapse,2,0.6282722513089005,0.6249412285311282,0.6530072703238599,1716,191
cords,Relapse,3,0.5916230366492147,0.5883620689655172,0.6089447014760961,1716,191
cords,Relapse,4,0.5968586387434555,0.5914381754035059,0.6579643093192333,1716,191
cords,Relapse,5,0.5602094240837696,0.5587458745874587,0.6111478299184843,1716,191
cords,Relapse,6,0.581151832460733,0.5648211437685122,0.6206212822207534,1716,191
cords,Relapse,7,0.5684210526315789,0.5588401857515007,0.5808266488413546,1717,190
cords,Relapse,8,0.6105263157894737,0.6094444444444445,0.6459447415329769,1717,190
cords,Relapse,9,0.5526315789473685,0.5481127060074429,0.579819779730782,1717,190
cords,Grade,0,0.6275510204081632,0.43121825994754176,0.724608326518306,1755,196
cords,Grade,1,0.5794871794871795,0.49502118108929255,0.7422333425021753,1756,195
cords,Grade,2,0.6564102564102564,0.5006040851803564,0.7787767257155088,1756,195
cords,Grade,3,0.6666666666666666,0.5109289617486339,0.7891346801167125,1756,195
cords,Grade,4,0.6410256410256411,0.4922656578394283,0.7713965852156841,1756,195
cords,Grade,5,0.6102564102564103,0.4982651351998086,0.7173881488225522,1756,195
cords,Grade,6,0.6153846153846154,0.42352543518675007,0.7363291814931644,1756,195
cords,Grade,7,0.6615384615384615,0.45304550692863366,0.772697641886735,1756,195
cords,Grade,8,0.6666666666666666,0.5074717769753231,0.8346060095632963,1756,195
cords,Grade,9,0.6307692307692307,0.4761441647597254,0.7623378397442243,1756,195
