marker_name,marker_id,marker_mean,marker_std
PD1,446,0.025946484383293,0.044719792140842
PDL1,450,0.036109762571398,0.056349816509718
Podoplanin,456,0.044324343961638,0.082199030431065
S100B,460,0.015375635971211,0.01608935768369
Tim3,486,0.035809085330999,0.059759291497821
Vimentin,496,0.045974174450686,0.058083571144493
VISTA,498,0.039657277941614,0.057369175663555
ADAR1,500,0.0,1.0
AKT,502,0.0,1.0
AMY1A,504,0.0,1.0
AMY2A,506,0.0,1.0
Annexin A2,508,0.0,1.0
anti-Hu,510,0.0,1.0
ANXA1,512,0.0,1.0
AR,514,0.0,1.0
Arg1,516,0.0,1.0
ARX,518,0.0,1.0
ATPIF1,520,0.0,1.0
AXL,522,0.0,1.0
BCAN,524,0.0,1.0
beta-Actin,526,0.0,1.0
Biotin,528,0.0,1.0
c-Myc,530,0.0,1.0
C-peptide,532,0.0,1.0
C3,534,0.0,1.0
Cadherin-11,536,0.0,1.0
Carbonic Anhydrase,538,0.0,1.0
Caveolin-1,540,0.0,1.0
CCL18,542,0.0,1.0
CCL19,544,0.0,1.0
CCL2,546,0.0,1.0
CCL21,548,0.0,1.0
CCL22,550,0.0,1.0
CCL4,552,0.0,1.0
CCL8,554,0.0,1.0
CCR2,556,0.0,1.0
CD109,558,0.0,1.0
CD137,560,0.0,1.0
CD146,562,0.0,1.0
CD155,564,0.0,1.0
CD204,566,0.0,1.0
CD209,568,0.0,1.0
CD248,570,0.0,1.0
CD276,572,0.0,1.0
CD31-vWF,574,0.0,1.0
CD33,576,0.0,1.0
CD47,578,0.0,1.0
CD66a,580,0.0,1.0
CD73,582,0.0,1.0
CD74,584,0.0,1.0
CD79A,586,0.0,1.0
CD86,588,0.0,1.0
CD9,590,0.0,1.0
CD94,592,0.0,1.0
CD99,594,0.0,1.0
CDX2,596,0.0,1.0
CEACAM5,598,0.0,1.0
CFTR,600,0.0,1.0
CHGA,602,0.0,1.0
CHI3L1,604,0.0,1.0
Cirate Synthase,606,0.0,1.0
CK14,608,0.0,1.0
CK19,610,0.0,1.0
CK20,612,0.0,1.0
CK5,614,0.0,1.0
CK7,616,0.0,1.0
CK8-18,618,0.0,1.0
cl.PARP,620,0.0,1.0
CXCL10,622,0.0,1.0
CXCL12,624,0.0,1.0
CXCL4,626,0.0,1.0
CXCL8,628,0.0,1.0
CXCL9,630,0.0,1.0
CXCR2,632,0.0,1.0
CXCR6,634,0.0,1.0
DapB,636,0.0,1.0
DLL3,638,0.0,1.0
DNA1,640,0.0,1.0
DNA2,642,0.0,1.0
Ecad,644,0.0,1.0
ER,646,0.0,1.0
ERK,648,0.0,1.0
ERN1,650,0.0,1.0
EZH2,652,0.0,1.0
FAP,654,0.0,1.0
FOXA2,656,0.0,1.0
FSP1,658,0.0,1.0
GAPDH,660,0.0,1.0
GCG,662,0.0,1.0
GFAP,664,0.0,1.0
GHRL,666,0.0,1.0
GPA33,668,0.0,1.0
HER2 (D8F12),670,0.0,1.0
HER3,672,0.0,1.0
Hexokinase I,674,0.0,1.0
HIF1a,676,0.0,1.0
Histone H3 - t,678,0.0,1.0
HOPX,680,0.0,1.0
IAPP,682,0.0,1.0
IFNy,684,0.0,1.0
IgG,686,0.0,1.0
IL10,688,0.0,1.0
IL17a,690,0.0,1.0
IL7a,692,0.0,1.0
Insulin,694,0.0,1.0
JARID2-C,696,0.0,1.0
JARID2-N,698,0.0,1.0
K-Cadherin,700,0.0,1.0
Ki67-pt198,702,0.0,1.0
LAMP3,704,0.0,1.0
LDHA,706,0.0,1.0
MART1,708,0.0,1.0
Met,710,0.0,1.0
MITF,712,0.0,1.0
MMP11,714,0.0,1.0
MOG,716,0.0,1.0
MS4A4A,718,0.0,1.0
mTOR,720,0.0,1.0
MX1,722,0.0,1.0
Nestin,724,0.0,1.0
NeuN,726,0.0,1.0
NFkb,728,0.0,1.0
NKG2A,730,0.0,1.0
NKp46,732,0.0,1.0
NKX2.2,734,0.0,1.0
NKX6-1,736,0.0,1.0
Olig1,738,0.0,1.0
Olig2,740,0.0,1.0
P2RY12,742,0.0,1.0
p75,744,0.0,1.0
pAKT,746,0.0,1.0
Pax6,748,0.0,1.0
pCREB,750,0.0,1.0
PCSK1,752,0.0,1.0
PCSK2,754,0.0,1.0
PDGFRb,756,0.0,1.0
PDX1,758,0.0,1.0
pERK,760,0.0,1.0
PIN,762,0.0,1.0
PM2,764,0.0,1.0
PM3,766,0.0,1.0
PM4,768,0.0,1.0
pMAPKAPK2,770,0.0,1.0
PNAd,772,0.0,1.0
pNFkB,774,0.0,1.0
PP,776,0.0,1.0
pp38,778,0.0,1.0
PPY,780,0.0,1.0
PR,782,0.0,1.0
Proglucagon,784,0.0,1.0
Proinsulin,786,0.0,1.0
pS6,788,0.0,1.0
pSTAT1,790,0.0,1.0
pSTAT3,792,0.0,1.0
PTPN22,794,0.0,1.0
PTPRN,796,0.0,1.0
S100a8,798,0.0,1.0
S6,800,0.0,1.0
SCD5,802,0.0,1.0
SLC1A3/EAAT1,804,0.0,1.0
Slug,806,0.0,1.0
SNAI1,808,0.0,1.0
SOD2,810,0.0,1.0
Somatostatin,812,0.0,1.0
Sox10,814,0.0,1.0
Sox2,816,0.0,1.0
Sox9,818,0.0,1.0
SYP,820,0.0,1.0
TCF1/7,822,0.0,1.0
TCF7,824,0.0,1.0
TGFB,826,0.0,1.0
TIGIT,828,0.0,1.0
TMEM119,830,0.0,1.0
TMEM173,832,0.0,1.0
TNC,834,0.0,1.0
TOX2,836,0.0,1.0
Twist,838,0.0,1.0
TXNIP,840,0.0,1.0
VCAM1,842,0.0,1.0
VEGF,844,0.0,1.0
WFS1,846,0.0,1.0
XBP1,848,0.0,1.0
